time,direction,speed,type

0.0,down,8,0
1.0,left,8,0
2.0,up,8,0
3.0,right,8,0
4.0,down,8,0
5.0,left,8,0

6.0,left,8,0
6.5,right,8,0
7.0,left,8,0
7.5,right,8,0
9.0,up,8,0
9.5,down,8,0
10.0,up,8,0
10.5,down,8,0


12.0,left,8,0
12.25,down,8,0
12.5,right,8,0
12.75,up,8,0
14.0,down,8,0
14.25,left,8,0
14.5,right,8,0
14.75,up,8,0


16.0,up,8,0
16.25,up,8,0
16.75,left,8,0
17.0,down,8,0
17.25,right,8,0
17.75,down,8,0
18.0,left,8,0
18.25,right,8,0


20.0,up,8,0
20.25,down,8,0
20.5,left,8,0
20.75,right,8,0
21.0,up,8,0
21.25,down,8,0
21.5,left,8,0
21.75,right,8,0

24.0,down,8,0
25.0,left,8,0
26.0,up,8,0
